Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Employer Provided,Hourly,min_sal,max_sal,avg_sal,Onsite,State,Age,python,spark,tableau,tensorflow,Simplified Title,Seniority,isPrivate
Data Scientist,$88K - $132K (Glassdoor est.),"Are you ready to join a growing team that puts a premium on productivity and has an award-winning culture, centered around transforming talented employees into effective business leaders?
Then BHG Financial is the place for you. We offer innovative financial solutions to licensed and highly-skilled professionals, representing the best of both traditional lending and fintech, and are looking for passionate, impact players to help take our company to the next level.
At BHG, you’ll become immersed in the finance industry—with a variety of loan solutions, credit cards, patient financing, bank programs, and collections services, which have helped BHG become one of the leading providers of finance solutions.
With over 20 years in business, we have the stability of an established company with the speed and agility of a startup, where ingenuity and risk-taking are encouraged, and every employee has the opportunity to learn, grow and thrive.",4.5,Bankers Healthcare Group,"Jersey City, NJ",1001 to 5000 Employees,2001,Company - Private,Banking & Lending,Financial Services,$500 million to $1 billion (USD),0,0,88.0,132.0,110.0,1,NJ,22,0,0,0,0,data scientist,na,1
Data Visualization Specialist - Data Scientist or Associate Data Scientist,Employer Provided Salary:$72K - $109K,"WHO WE ARE
This position is eligible for a hybrid (remote work for up to 4 days a week) telework arrangement. The candidate's telework location must be in Minnesota or Wisconsin.

The Metropolitan Council’s Community Development Division is accepting applications for an associate data scientist or a data scientist (depending on qualifications) for the position of Data Visualization Specialist within the community development research department.

We are the Metropolitan Council, the regional government for the seven-county Twin Cities metropolitan area. We plan 30 years ahead for the future of the metropolitan area and provide regional transportation, wastewater, and housing services. More information about us is on our website.

is responsible for the Council's regional long-range planning efforts; planning and technical assistance to local governments; planning for and funding the regional parks and open space system; delivering rent assistance through the Metropolitan Housing and Redevelopment Authority; and delivering the Livable Communities Act grant programs.



In community development, we have set the following goals to guide our work:



The Data Visualization Specialist will join a collaborative team from various data science, sociology, geography/GIS, economics, and related backgrounds who value people, curiosity, humility, and justice.

The collects, disseminates, and analyzes data about demographic trends, development patterns, climate change, parks visitation, equity, and the regional economy. We believe research can improve the lives of residents in our region, and see our skills, creativity, and platforms as resources to further shared understanding about regional issues that matter.

This position is part of the , a group within the community development research department. We are creative problem-solvers who think research products are developed is as important as the product itself. We center people, we integrate equity, and we transform technical into accessible through—and by—design.",3.7,Metropolitan Council,"Saint Paul, MN",1001 to 5000 Employees,1967,Government,Municipal Agencies,Government & Public Administration,$1 to $5 billion (USD),1,0,72.0,109.0,90.5,1,MN,56,0,0,0,0,data scientist,na,-1
"Lead Data Scientist, Credit Product - Fully Remote",Employer Provided Salary:$80K - $110K,"Lead Data Scientist, Credit Product
About Us:
Almond FinTech is a B2B technology company making financial services affordable and accessible to people around the world, regardless of income. Through our multi-blockchain cross-border transfer protocol, we remove financial barriers and deliver transfer and credit scoring tools that empower everyone, everywhere.
With financial institution partnerships across the world, our remote team is growing globally and we’re seeking to add more smart and talented people. This is an amazing opportunity to get in on the ground floor with a team focused on both social impact and a significant market opportunity.",-1.0,Almond FinTech,Remote,-1,-1,-1,-1,-1,-1,1,0,80.0,110.0,95.0,0,remote,-1,0,0,0,0,data scientist,senior,-1
Imaging Data Scientist,$85K - $120K (Glassdoor est.),"Research & Development – Des Moines, Iowa, United States
Req ID: 227925W-01
EMPLOYEE STATUS
Regular
SCHEDULE
FullTime
JOB TYPE
Experienced
EDUCATION",4.1,Corteva Agriscience,"Des Moines, IA",10000+ Employees,2019,Company - Public,Farm Support,Agriculture,Unknown / Non-Applicable,0,0,85.0,120.0,102.5,1,IA,4,0,0,0,0,data scientist,na,0
Data Scientist II,Employer Provided Salary:$97K - $177K,"The Trade Desk is a global technology company with a mission to create a better, more open internet for everyone through principled, intelligent advertising. Handling over 1 trillion queries per day, our platform operates at an unprecedented scale. We have also built something even stronger and more valuable: an award-winning culture based on trust, ownership, empathy, and collaboration. We value the unique experiences and perspectives that each person brings to The Trade Desk, and we are committed to fostering inclusive spaces where everyone can bring their authentic selves to work every day.
Do you have a passion for solving hard problems at scale? Are you eager to join a dynamic, globally-connected team where your contributions will make a meaningful difference in building a better media ecosystem? Come and see why Fortune magazine consistently ranks The Trade Desk among the best small-medium-sized workplaces globally.
ABOUT THE ROLE
Our Data Scientists are end-to-end owners. You will have the opportunity to participate in most aspects of designing, researching, building, and delivering data-focused products for our clients.
$96,500 -$176,900",4.2,The Trade Desk,"Bellevue, WA",1001 to 5000 Employees,2009,Company - Public,Internet & Web Services,Information Technology,$1 to $5 billion (USD),1,0,97.0,177.0,137.0,1,WA,14,0,0,0,0,data scientist,na,0
Data Scientist (All Levels),Employer Provided Salary:$84K - $147K,"Responsibilities:
Noblis is seeking to hire Data Scientists (All Levels) in Reston, VA

As a Data Scientist with our team, you will be working with our federal clients to rapidly develop innovative proof of concept and prototype solutions for our clients’ immediate mission challenges. In your role, you will work on multiple projects with teams of other data scientists, software developers, and SMEs to apply the best practices and state of the art data science and machine learning processes. As a data scientist you will be working closely with federal clients providing services to develop AI/ML models and weights to selected data to facilitate object detection, data triage, search/optimization, inference, facial recognition, behavior detection, and automated discovery and decision making, maintaining model versioning system and experience identifying new vulnerabilities in models.

On our team, you will:
Qualifications:

Client Engagement: · Learn about and support Noblis’ client engagement, corporate values, and corporate strategic priorities, including providing input to proposal writers. · Build a productive relationship with your client and understand their structure and goals. · Participate in the proposal process by providing input to proposal writers. Overview:",4.5,Noblis,"Reston, VA",1001 to 5000 Employees,1996,Nonprofit Organization,Business Consulting,Management & Consulting,$100 to $500 million (USD),1,0,84.0,147.0,115.5,1,VA,27,0,0,0,0,data scientist,na,-1
"Data Scientist, 40 Hours, Days.",$60K - $92K (Glassdoor est.),"Under the direction of the Office of Clinical Integration (OCI) Management team, supports and prepares the interpretation and program evaluation of performance improvement opportunities through the use of statistical, algorithmic, mining, and visualization techniques. Collaborates at all levels of the organization to accomplish the value-based program goals and UMass Memorial Health Care (UMMHC) enterprise strategic goals and objectives.
Major Responsibilities:
Supports and prepares reports and analyses for the management team and Senior Data Scientists for Population Health analytics projects by working closely with internal, affiliate and community based customers and executives, Information Services (IS) staff, project managers, program directors, and other OCI teams to turn data into critical information/knowledge that can be used to make sound organizational decisions.",3.7,UMass Memorial Health,"Worcester, MA",10000+ Employees,1997,Hospital,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),0,0,60.0,92.0,76.0,1,MA,26,0,0,0,0,data scientist,na,-1
Data Scientist,Employer Provided Salary:$70K - $105K,"Job Summary
Under minimal supervision, supports gathering business requirements, identifying data sources, conducting data and statistical analyses, developing systems, and assisting with the visualization and reporting functions of the Denver Public Health (DPH) Department. Responsible for development, implementation, evaluation, data extraction and analysis programming, visualization, and reporting activities related to assigned projects and workgroups. Demonstrates technical and conceptual skills necessary to develop system solutions for Public Health projects using appropriate data systems. Provides support in database design and architecture, database management, and data modeling for the creation and integration of various Public Health data sources. Performs data integration and interoperability through the identification, acquisition, and aggregation of disparate data sets. Participates and supports project lifecycles through project management and process improvement activities. Assists Public Health clinical and administrative staff with complex systems issues related to data analysis and reporting activities. Coordinates relevant efforts with other Denver Health departments when appropriate.",3.6,Denver Health,"Denver, CO",5001 to 10000 Employees,1860,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD),1,0,70.0,105.0,87.5,1,CO,163,0,0,0,0,data scientist,na,-1
Data Engineer,$81K - $113K (Glassdoor est.),"Equifax is where you can power your possible. If you want to achieve your true potential, chart new paths, develop new skills, collaborate with bright minds, and make a meaningful impact, we want to hear from you.
Equifax is a market leader in providing total information solutions to businesses and consumers. Our products and services help companies minimize their financial risk and maximize growth opportunities while enabling consumers to better protect and manage their financial health.
Equifax’s Data & Analytics team is seeking an experienced Data Engineer with extensive data background. D&A Presale & Business Insights team provides extensive pre-sales engagement support throughout the sales cycle by providing domain expertise of Equifax data and advanced analytics solution.",3.6,Equifax,"Atlanta, GA",10000+ Employees,1899,Company - Public,Research & Development,Management & Consulting,$1 to $5 billion (USD),0,0,81.0,113.0,97.0,1,GA,124,0,0,0,0,na,na,0
"Data Scientist (L5) - Applied Research, Consumer Insights",$103K - $164K (Glassdoor est.),"Los Angeles, California
Consumer Insights
Netflix is one of the world's leading streaming entertainment services with 231 million paid memberships in over 190 countries enjoying TV series, documentaries, feature films and mobile games across a wide variety of genres and languages. We are revolutionizing how shows and movies are produced, pushing technological boundaries to efficiently deliver streaming video at a massive scale over the internet, and continuously improving and personalizing how content is presented around the globe.

We’re looking for a passionate Research Data Scientist to join our Consumer Insights Data Management & Analytics (DM&A) team. This team leverages technical expertise in applied data science, engineering, and solutions development to support a high-impact team of 90+ quantitative and qualitative researchers. The Consumer Insights team conducts cutting-edge research designed to help answer Netflix’s most complex business challenges. We work within a broad-based team of researchers, operations specialists, data scientists, and engineers to successfully complete diverse, high-quality research projects to provide vital data to collaborative initiatives that inspire action and innovation across the company.",4.3,Netflix,"Los Angeles, CA",5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),0,0,103.0,164.0,133.5,1,CA,26,0,0,0,0,data scientist,na,0
Data Scientist 5,$115K - $164K (Glassdoor est.),"Supports the design, deployment, and operations of a large-scale global Oracle cloud computing environment (Oracle Cloud Infrastructure - OCI). Primarily focused on development and support of network fabric and systems through a combination of a deep level understanding of networking at the protocol level coupled with programming skills to support the intensive automation required to operate a production environment. As OCI is a cloud-based network with a global footprint, this support will include hundreds of thousands of network devices supporting millions of servers, connected over a mix of dedicated backbone infrastructure and the Internet.
The Network Capacity Planning team is looking for Senior Network Data Scientists. This person will help do network change analysis, customer impacting change analysis, growth and forecasting, and will also help design and built tools to support network capacity management. This person should have deep cloud networking experience, from compute fabrics to backbone and internet. This person should have significant experience in time series analysis and forecasting, and have python, mysql, and time series DB experience for developing tools and models to help support capacity planning automation.",3.9,Oracle,"Seattle, WA",10000+ Employees,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),0,0,115.0,164.0,139.5,1,WA,46,1,0,0,0,data scientist,na,0
Data Scientist Fellowship,Employer Provided Salary:$70K,"Data Scientist - 1 Year Fellowship
Join an innovative, like-minded team that focuses on your personal growth and accelerating your career!
Use your skills and experience for social good
Earn $70,000 per year plus a great host of benefits
Fellowship Program Runs From June 2023 to June 2024
If you have questions about our program, please contact Devie Smith – Devie@techimpact.org / 302 530 8457


Tech Impact's Data Innovation Lab (Tech Impact) exists to engage local and global organizations in an ongoing conversation around the use of advanced data analytics and artificial intelligence to fast-forward research ideas out of the lab and into the marketplace.
Our mission is to develop novel data and analytics approaches that can disrupt the status quo and fundamentally alter a current issue or problem. Using best practices, diverse industry experience, access to technical and scientific talent, and core technologies, the lab will solve community-based issues while attracting national talent to the region and providing work for the technical and innovative talent of Delaware.
For more information, visit our website.

Tech Impact is looking for to join our team for a 1-year Fellowship Program in New Castle County, Delaware. The Fellowship Program will run from June 2023 to June 2024 and is a hybrid role. The successful candidate will have or will establish residence in Delaware.
The Fellowship is intended for technologists with a deep technical skill set and a strong desire to serve their communities. As aData Scientist,you will work with our partners to design, develop, and deploy production-grade solutions to social good problems. You will be expected to collaborate across projects to generate hypotheses, develop models, and create products. Your work will directly lead to improving the lives of people in communities in Delaware and beyond.
Responsibilities include, but are not limited to:

Our preferred candidate has a or above in statistics, mathematics, computer science, psychology, public health, or another related quantitative field. However, undergraduates or individuals who have relevant training will also be considered.
In addition, we require strong skills, experience, and knowledge in the following:

In exchange for your hard work and dedication, you will receive a salary of plus a great host of benefits, including:



As an Equal Opportunity Employer, Tech Impact embraces diversity and does not discriminate in employment based on age, race, color, creed, sex, gender, identity, religion, marital status, veteran’s status, national origin, disability, or sexual orientation.",4.2,Tech Impact,Delaware,51 to 200 Employees,2003,Nonprofit Organization,Information Technology Support Services,Information Technology,$5 to $25 million (USD),1,0,70.0,70.0,70.0,1,DE,20,0,0,0,0,data scientist,na,-1
"Lead Data Scientist, Credit Product - Fully Remote",Employer Provided Salary:$80K - $110K,"Lead Data Scientist, Credit Product
About Us:
Almond FinTech is a B2B technology company making financial services affordable and accessible to people around the world, regardless of income. Through our multi-blockchain cross-border transfer protocol, we remove financial barriers and deliver transfer and credit scoring tools that empower everyone, everywhere.
With financial institution partnerships across the world, our remote team is growing globally and we’re seeking to add more smart and talented people. This is an amazing opportunity to get in on the ground floor with a team focused on both social impact and a significant market opportunity.",-1.0,Almond FinTech,Remote,-1,-1,-1,-1,-1,-1,1,0,80.0,110.0,95.0,0,remote,-1,0,0,0,0,data scientist,senior,-1
"Data Scientist or Statistician, Postdoc",Employer Provided Salary:$67K - $120K,"Center Information:
The Quantitative Biomedical Research Center (QBRC) is a well-established research center at UT Southwestern Medical Center (UTSW). It aims to foster collaborations involving quantitative methods and technologies in any aspect of biomedical research, particularly for understanding disease etiologies and developing treatment and prevention strategies. Currently, the center has six faculty members, around 40 staff members, postdocs and student research assistants. We are actively recruiting new members to join this new and dynamic group.
Position Title: Data Scientist I, II, III, Computational biologist I, II, III or Postdoctoral Fellow (Bioinformatics/Biostatistics)
Duties & Responsibilities: For bioinformatics or statistician scientists, the projects include developing novel method for analysis and integration of multiple-omics data, and single cell genomics and transcriptome analysis. For data scientists, the projects include assembling and statistical analyses of big clinical data, and application of machine learning and deep learning methods on real medical problems.",4.0,UT Southwestern Medical Center,Remote,10000+ Employees,1943,Hospital,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),1,0,67.0,120.0,93.5,0,remote,80,0,0,0,0,data scientist,na,-1
Staff Data Scientist,Employer Provided Salary:$185K - $215K,"Staff Data Scientist
We’re looking for data scientists to join our team. You'll develop statistical and machine learning models to improve our operations platform and help us provide a better service to our clients. We're looking for generalist data scientists who are excited to jump into new problems and write production-quality code. Leverage data to solve meaningful problems with appropriate complexity Collaborate with a diverse team across engineering, PM, and care operations to define a strategy and execute against it Research operational/logistical problems and proactively identify potential solutions. Lead the design, implementation, and evaluation of descriptive and predictive models. Integrate machine learning into user-facing applications. Mentor and provide technical oversight on teammates' projects throughout the project lifecycle. About you: Excellent communication skills with both technical and non-technical peers. Excellent mathematical and statistical fundamentals, including a degree in a quantitative field (such as Computer Science, Mathematics, Statistics, Economics, Physics) or equivalent professional experience. Wide-ranging professional experience solving complex business problems and shipping Python in a production environment. Using NLP methods to build data products from a variety of unstructured data sources, including phone calls and website forms 5+ years of industry experience. Expertise with numerical software packages such as NumPy, scikit-learn, or Keras. Able to manage product ambiguity, seeking clarity when possible. Are accountable end-to-end for your own projects, through planning, deployment, maintenance, and monitoring. You spot and address potential issues early. Bonus points if you have professional experience with: Designing systems to optimize portfolio allocation in a two-sided marketplace (E.g., ideal matches of people needing and providing care, automated financial incentives to staff remaining shifts, etc.) Using survival analysis and related methods to evaluate risk of employee churn and to predict future high-performers Collaborating with designers to develop effective methods of collecting data in order to quantify highly qualitative attributes, such as personality, taste preferences and perceived quality Applying spatial statistics to incorporate geographic and regional differences in a variety of problem contexts Our range reflects the hiring range for this position. We use national average to determine pay as we are a remote first company. Individual pay is based on a number of factors including qualifications, skills, experience, education, and training. Base pay is just a part of our total rewards program. Honor offers generous equity packages that increase with position level and responsibilities, and a 401K with up to a 4% employer match.We provide medical, dental and vision coverage including zero cost plans for employees. Short Term Disability, Long Term Disability and Life Insurance are fully employer paid with a voluntary additional Life Insurance option. We offer a generous time off program, mental health benefits, wellness program, and discount program. Hiring Salary Range$185,000—$215,000 USD",3.5,Honor,Remote,501 to 1000 Employees,2014,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,1,0,185.0,215.0,200.0,0,remote,9,1,0,0,0,data scientist,na,1
Data Visualization Specialist - Data Scientist or Associate Data Scientist,Employer Provided Salary:$72K - $109K,"WHO WE ARE
This position is eligible for a hybrid (remote work for up to 4 days a week) telework arrangement. The candidate's telework location must be in Minnesota or Wisconsin.

The Metropolitan Council’s Community Development Division is accepting applications for an associate data scientist or a data scientist (depending on qualifications) for the position of Data Visualization Specialist within the community development research department.

We are the Metropolitan Council, the regional government for the seven-county Twin Cities metropolitan area. We plan 30 years ahead for the future of the metropolitan area and provide regional transportation, wastewater, and housing services. More information about us is on our website.

is responsible for the Council's regional long-range planning efforts; planning and technical assistance to local governments; planning for and funding the regional parks and open space system; delivering rent assistance through the Metropolitan Housing and Redevelopment Authority; and delivering the Livable Communities Act grant programs.



In community development, we have set the following goals to guide our work:



The Data Visualization Specialist will join a collaborative team from various data science, sociology, geography/GIS, economics, and related backgrounds who value people, curiosity, humility, and justice.

The collects, disseminates, and analyzes data about demographic trends, development patterns, climate change, parks visitation, equity, and the regional economy. We believe research can improve the lives of residents in our region, and see our skills, creativity, and platforms as resources to further shared understanding about regional issues that matter.

This position is part of the , a group within the community development research department. We are creative problem-solvers who think research products are developed is as important as the product itself. We center people, we integrate equity, and we transform technical into accessible through—and by—design.",3.7,Metropolitan Council,"Saint Paul, MN",1001 to 5000 Employees,1967,Government,Municipal Agencies,Government & Public Administration,$1 to $5 billion (USD),1,0,72.0,109.0,90.5,1,MN,56,0,0,0,0,data scientist,na,-1
Machine Learning Data Scientist - Python / R,$92K - $137K (Glassdoor est.),"In this age of disruption, organizations need to navigate the future with confidence by tapping into the power of data analytics, robotics, and cognitive technologies such as Artificial Intelligence (AI).

Our Strategy & Analytics portfolio helps clients leverage rigorous analytical capabilities and a pragmatic mindset to solve the most complex of problems. By joining our team, you will play a key role in helping to our clients uncover hidden relationships from vast troves of data and transforming the Government and Public Services marketplace.

Work you'll do


Developing advanced analytics products





The GPS Analytics and Cognitive (A&C) offering is responsible for developing advanced analytics products and applying data visualization and statistical programming tools to enterprise data in order to advance and enable the key mission outcomes for our clients.

Our team supports all phases of analytic work product development, from the identification of key business questions through data collection and ETL, and from performing analyses and using a wide range of statistical, machine learning, and applied mathematical techniques to delivery insights to decision-makers. Our practitioners give special attention to the interplay between data and the business processes that produce it and the decision-makers that consume insights.











At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there's always room to learn.

We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs, our professionals have a variety of opportunities to continue to grow throughout their career. #LI-BL2

#LI-MM4",4.1,Deloitte,"Raleigh, NC",10000+ Employees,1850,Company - Private,Accounting & Tax,Financial Services,$10+ billion (USD),0,0,92.0,137.0,114.5,1,NC,173,0,0,0,0,data scientist,na,1
Sr. Data Scientist,$90K - $128K (Glassdoor est.),"Become a Part of the NIKE, Inc. Team
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
NIKE is a technology company. From our flagship website and five-star mobile apps to developing products, managing big data and providing leading edge engineering and systems support, our teams at NIKE Global Technology exist to revolutionize the future at the confluence of tech and sport. We invest and develop advances in technology and employ the most creative people in the world, and then give them the support to constantly innovate, iterate and serve consumers more directly and personally. Our teams are innovative, diverse, multidisciplinary and collaborative, taking technology into the future and bringing the world with it.",4.2,Nike,"Beaverton, OR",10000+ Employees,1972,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),0,0,90.0,128.0,109.0,1,OR,51,0,0,0,0,data scientist,senior,0
Senior Data Scientist,Employer Provided Salary:$85K - $208K,"The Trade Desk is a global technology company with a mission to create a better, more open internet for everyone through principled, intelligent advertising. Handling over 1 trillion queries per day, our platform operates at an unprecedented scale. We have also built something even stronger and more valuable: an award-winning culture based on trust, ownership, empathy, and collaboration. We value the unique experiences and perspectives that each person brings to The Trade Desk, and we are committed to fostering inclusive spaces where everyone can bring their authentic selves to work every day.
Do you have a passion for solving hard problems at scale? Are you eager to join a dynamic, globally-connected team where your contributions will make a meaningful difference in building a better media ecosystem? Come and see why Fortune magazine consistently ranks The Trade Desk among the best small-medium-sized workplaces globally.
Our Compensation and Benefits (for Colorado residents only)
Base Compensation Range: $84,550 - $207,585
$116,800 -$214,100",4.2,The Trade Desk,"Boulder, CO",1001 to 5000 Employees,2009,Company - Public,Internet & Web Services,Information Technology,$1 to $5 billion (USD),1,0,85.0,208.0,146.5,1,CO,14,0,0,0,0,data scientist,senior,0
Senior Data Scientist,Employer Provided Salary:$150K - $195K,"About Brilliant
Brilliant is a tight-knit team of scientists, educators, engineers, designers, storytellers, and illustrators who are redesigning education at scale.
We believe that math and science are fascinating and beautiful, but that the tools widely used to teach it are dry and ineffective. Brilliant makes learning STEM fun, through problem solving and interactive explorations – from foundational math and science to cutting-edge computer science and professional topics.
Brilliant helps over 12 million students, professionals, and lifelong learners around the world cultivate problem solving skills, build intuition, and master concepts rather than memorize them. To understand more about our approach, see our learning principles.",-1.0,Brilliant,"San Francisco, CA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,1,0,150.0,195.0,172.5,1,CA,-1,0,0,0,0,data scientist,senior,0
Imaging Data Scientist,$85K - $120K (Glassdoor est.),"Description

Corteva Agriscience is seeking an Imaging Data Scientist with a background in image analysis, computer vision and machine learning to join our global Farming Solutions & Digital group working on image analytics for digital agriculture at our Johnston, Iowa location. We are aggressively building Big Data and Predictive Analytics capabilities to deliver improved services to our customers.
At Corteva, you'll become part of an interdisciplinary, global work environment in which you will operate as a thought leader and visionary that will encourage and promote disruptive advances by applying state-of-the-art methods in imaging science and artificial intelligence. This is a critical position with strategic impact on our business and you will play a major role by driving innovation in agriculture technology.",4.1,Corteva,"Des Moines, IA",10000+ Employees,2019,Company - Public,Farm Support,Agriculture,Unknown / Non-Applicable,0,0,85.0,120.0,102.5,1,IA,4,0,0,0,0,data scientist,na,0
Data Scientist I,Employer Provided Salary:$107K - $161K,"YOUR LIFE'S MISSION: POSSIBLE
You have goals, dreams, hobbies and things you’re passionate about.

What’s Important to You Is Important to Us
We’re looking for people who not only want to do meaningful, challenging work, keep their skills sharp and move ahead, but who also take time for the things that matter to them—friends, family and passions. And we're looking for team members who are passionate about our mission—making a difference in military members' and their families' lives. Together, we can make it happen.

Don’t take our word for it.",4.1,Navy Federal Credit Union,"Vienna, VA",10000+ Employees,1933,Self-employed,Banking & Lending,Financial Services,Unknown / Non-Applicable,1,0,107.0,161.0,134.0,1,VA,90,0,0,0,0,data scientist,na,-1
Data Scientist,Employer Provided Salary:$63K - $131K,"Description
Job Description:
The Integrated Mission Operations Group at Leidos has an opening for a data scientist to work at our John C. Stennis Space Center, MS location. This is an exciting opportunity to use your physical scientist / oceanographer experience and training in support of the U.S. Naval Oceanography Program. In this mission, we support the Navy’s responsibility to execute operational oceanography; meteorology; precise time and astrometry; and Geospatial Information and Services (GI&S) to the operating forces of the Navy and (DoD). The Naval Meteorology and Oceanography Command (NAVMETOCCOM), with its subordinate organizations, such as the Naval Oceanographic Office (NAVOCEANO), is responsible for collecting, compiling, processing, assessing, and analyzing bathymetric/hydrographic, oceanographic, atmospheric, and other types of environmental data, which have a critical impact on naval operations.
Pay Range $63,050.00 - $97,000.00 - $130,950.00",3.9,Leidos,"Stennis Space Center, MS",10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),1,0,63.0,131.0,97.0,1,MS,54,0,0,0,0,data scientist,na,0
Data Scientist,$103K - $152K (Glassdoor est.),"United States - Illinois, United States - New Jersey, United States - Tennessee
Compliance
Group Functions
Job Reference #
275620BR
City
Chicago, Nashville, Weehawken
Job Type
Full Time",3.9,UBS,"Chicago, IL",10000+ Employees,1862,Company - Public,Investment & Asset Management,Financial Services,$10+ billion (USD),0,0,103.0,152.0,127.5,1,IL,161,0,0,0,0,data scientist,na,0
Data Scientist,$88K - $132K (Glassdoor est.),"Are you ready to join a growing team that puts a premium on productivity and has an award-winning culture, centered around transforming talented employees into effective business leaders?
Then BHG Financial is the place for you. We offer innovative financial solutions to licensed and highly-skilled professionals, representing the best of both traditional lending and fintech, and are looking for passionate, impact players to help take our company to the next level.
At BHG, you’ll become immersed in the finance industry—with a variety of loan solutions, credit cards, patient financing, bank programs, and collections services, which have helped BHG become one of the leading providers of finance solutions.
With over 20 years in business, we have the stability of an established company with the speed and agility of a startup, where ingenuity and risk-taking are encouraged, and every employee has the opportunity to learn, grow and thrive.",4.5,Bankers Healthcare Group,"Jersey City, NJ",1001 to 5000 Employees,2001,Company - Private,Banking & Lending,Financial Services,$500 million to $1 billion (USD),0,0,88.0,132.0,110.0,1,NJ,22,0,0,0,0,data scientist,na,1
Data Scientist,Employer Provided Salary:$115K - $130K,"Headquartered in New York City, Dataiku was founded in Paris in 2013 and achieved unicorn status in 2019. Now, more than 1,000+ employees work across the globe in our offices and remotely. Backed by a renowned set of investors and partners including CapitalG, Tiger Global, and ICONIQ Growth, we've set out to build the future of AI.

The role of a Data Scientist at Dataiku is quite unique. Our Data Scientists not only code up solutions to real-world problems, but also participate in client-facing endeavors throughout the customer journey. This includes supporting their discovery of the platform, helping integrate Dataiku with other tools and technologies, some user training, and co-developing data science projects from design to deployment.
Just as the non-technical skills are important, so too are the technical. Our Data Scientists work on the Dataiku platform every day. Aside from the visual tools, our team uses mostly python, with occasional work in other languages (e.g., R, SQL, pyspark, JavaScript, etc.). An ideal candidate is excited to learn complex new technologies and modeling techniques while being able to explain their work to other data scientists and clients.",4.2,Dataiku,United States,1001 to 5000 Employees,2013,Company - Private,Software Development,Information Technology,$100 to $500 million (USD),1,0,115.0,130.0,122.5,1,US,10,1,1,0,0,data scientist,na,1
Genomics Data Scientist,Employer Provided Salary:$100K - $125K,"Description:
Company Summary
Avellino, a global leader in precision medicine, is seeking a talented and independent Software Developer to join its subsidiary, Palmona Pathogenomics. Palmona provides the most advanced pathogen genomic analysis for the most effective rapid treatments and accurate global surveillance of infectious diseases. Palmona has rapidly made progress in the fingerprinting and comparison of pathogenic genomes, with the aim of making the comprehensive results available to physicians, healthcare facilities and government agencies.
Requirements:
Position Summary",3.1,Avellino Lab USA Inc,Remote,51 to 200 Employees,2012,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,1,0,100.0,125.0,112.5,0,remote,11,0,0,0,0,data scientist,na,1
Data Scientist - All Levels,$60K - $100K (Glassdoor est.),"Description:
Interclypse is seeking Data Scientists.
The Interclypse difference is our emphasis on employee growth and development through continuous learning, mentorship, and empowerment. Interclypse employees grow in a positive cultivating work environment with endless career opportunities. Let Interclypse empower you by putting you in the driver's seat of your career.
Currently, Interclypse is seeking motivated, career and customer-oriented Data Scientists to join our team to provide exemplary support to our customers and to begin an exciting and rewarding career within Interclypse. As a Data Scientist, you will enjoy leading edge work developing innovative solutions to address data analytics challenges, to collect large volumes of data from varying sources, perform data cleansing, transformation, interpretation, inferencing, create solutions to overcome mission challenges, and communicate with interested stakeholders.
Requirements:",4.7,Interclypse Inc,"Reston, VA",51 to 200 Employees,2007,Company - Private,Software Development,Information Technology,$5 to $25 million (USD),0,0,60.0,100.0,80.0,1,VA,16,0,0,0,0,data scientist,na,1
